NoTP,ConstCost,SS,NMCC,SSNC,TCN25,FC,BSNC,BS,Test,ConstCostCC,TC25,NM
184,[-1],132,[-1],[-1],179,[-1],[-1],129,bib-prob,[-1],179,[-1]
234,[-1],131,[-1],132,183,[-1],97,130,addr-probs,[-1],178,[-1]
80,[-1],56,[-1],[-1],81,[-1],1209,42,two-cap-prob,[-1],77,[-1]
128,[-1],129,[-1],[-1],[-1],[-1],[-1],107,workitem-probs,129,130,[-1]
81,[-1],74,[-1],75,76,[-1],75,62,date-probs,75,79,[-1]
76,76,69,44,[-1],75,44,62,42,cap-prob,75,79,71
126,[-1],98,[-1],77,132,[-1],76,77,augeas/aptcrngsec,[-1],128,[-1]
182,[-1],130,[-1],129,185,[-1],128,129,augeas/bootconf,[-1],183,[-1]
448,[-1],285,[-1],271,444,[-1],234,256,augeas/cron,[-1],446,[-1]
234,[-1],161,[-1],131,239,[-1],130,127,augeas/aptsources,[-1],233,[-1]
133,[-1],98,[-1],76,128,[-1],78,76,augeas/avahi,[-1],131,[-1]
198,[-1],130,[-1],[-1],198,[-1],[-1],144,augeas/carbon,[-1],194,[-1]
145,[-1],84,[-1],82,150,[-1],87,86,augeas/cachefilesd,[-1],149,[-1]
130,[-1],131,[-1],106,149,[-1],86,84,augeas/activemq,[-1],139,[-1]
264,[-1],188,[-1],[-1],248,[-1],139,142,augeas/cgconfig,[-1],244,[-1]
425,[-1],309,[-1],[-1],411,[-1],1488,252,augeas/automounter,[-1],427,[-1]
366,[-1],262,[-1],[-1],349,[-1],695,255,augeas/channels,[-1],360,[-1]
[-1],[-1],7086,[-1],[-1],[-1],[-1],[-1],3174,augeas/bbhosts,[-1],[-1],[-1]
191,[-1],139,[-1],138,192,[-1],140,145,augeas/cgrules,[-1],149,[-1]
365,[-1],255,[-1],[-1],367,[-1],[-1],240,augeas/aptconf-l1,[-1],367,[-1]
197,[-1],151,[-1],154,193,[-1],139,140,augeas/access,[-1],185,[-1]
136,[-1],88,[-1],81,137,[-1],87,87,augeas/apt-upd-mgr,[-1],140,[-1]
347,[-1],202,[-1],366,317,[-1],247,197,augeas/automaster,[-1],361,[-1]
186,[-1],144,[-1],[-1],140,[-1],[-1],114,augeas/aptprefs,[-1],149,[-1]
130,[-1],108,[-1],84,131,[-1],89,84,augeas/afs-cellalias,[-1],142,[-1]
[-1],[-1],10760,[-1],[-1],[-1],[-1],[-1],8729,augeas/anacron,[-1],[-1],[-1]
[-1],[-1],19737,[-1],[-1],[-1],[-1],[-1],9564,augeas/xml-synth,[-1],[-1],[-1]
183,[-1],139,[-1],[-1],187,[-1],[-1],139,augeas/aptconf,[-1],183,[-1]
[-1],[-1],1089,[-1],1079,[-1],[-1],500,502,augeas/xml-l1,[-1],[-1],[-1]
132,[-1],117,[-1],[-1],130,[-1],128,76,augeas/approx,[-1],127,[-1]
173,[-1],126,[-1],[-1],176,[-1],914,128,augeas/hosts,[-1],179,[-1]
180,[-1],146,[-1],127,179,[-1],128,131,augeas/backuppchosts,[-1],181,[-1]
127,[-1],128,[-1],130,133,[-1],98,129,augeas/chrony,[-1],127,[-1]
129,[-1],128,[-1],128,134,[-1],76,111,augeas/alias,[-1],132,[-1]
283,[-1],236,[-1],[-1],294,[-1],[-1],193,augeas/auth-keys,[-1],283,[-1]
78,[-1],75,[-1],77,79,[-1],55,75,flash-fill/extr-num,80,77,[-1]
1884,1825,1008,[-1],952,1883,1935,926,948,flash-fill/extr-fname,1015,1907,[-1]
79,[-1],70,[-1],74,75,[-1],48,41,flash-fill/extr-quant,74,80,[-1]
3580,[-1],1842,[-1],1771,[-1],[-1],820,891,flash-fill/extr-fname-err,[-1],3557,[-1]
