NoTP,SS,NMCC,SSNC,FC,BSNC,BS,Test,NM
[-1],89,[-1],78,133,[-1],[-1],symmetric-tests/scheduled-jobs,[-1]
[-1],[-1],[-1],[-1],[-1],[-1],[-1],symmetric-tests/remove-last,[-1]
74,41,[-1],41,[-1],[-1],[-1],symmetric-tests/flash-fill/extr-acronym,[-1]
83,75,[-1],79,84,[-1],[-1],symmetric-tests/flash-fill/normalize-name-position,[-1]
72,49,[-1],50,[-1],[-1],[-1],symmetric-tests/flash-fill/extr-num,[-1]
[-1],62,[-1],55,[-1],[-1],[-1],symmetric-tests/flash-fill/extr-odds,[-1]
[-1],77,80,76,77,[-1],[-1],symmetric-tests/flash-fill/extr-fname,83
21082,10554,[-1],10278,[-1],[-1],[-1],symmetric-tests/flash-fill/normalize-spaces,[-1]
78,79,[-1],49,[-1],[-1],[-1],symmetric-tests/flash-fill/extr-quant,[-1]
[-1],548,[-1],[-1],1045,[-1],[-1],symmetric-tests/flash-fill/extr-fname-err,[-1]
183,131,[-1],[-1],[-1],[-1],133,bijective-tests/bib-prob,[-1]
228,126,[-1],129,[-1],127,131,bijective-tests/addr-probs,[-1]
78,56,[-1],[-1],[-1],1232,55,bijective-tests/two-cap-prob,[-1]
145,128,[-1],[-1],[-1],[-1],120,bijective-tests/workitem-probs,[-1]
71,58,[-1],58,[-1],49,51,bijective-tests/date-probs,[-1]
47,54,75,[-1],82,47,44,bijective-tests/cap-prob,84
143,84,[-1],82,[-1],83,83,bijective-tests/augeas/aptcrngsec,[-1]
194,133,[-1],137,[-1],138,140,bijective-tests/augeas/bootconf,[-1]
477,272,[-1],250,[-1],247,250,bijective-tests/augeas/cron,[-1]
231,148,[-1],143,[-1],138,141,bijective-tests/augeas/aptsources,[-1]
132,97,[-1],90,[-1],81,92,bijective-tests/augeas/avahi,[-1]
178,137,[-1],[-1],[-1],[-1],129,bijective-tests/augeas/carbon,[-1]
133,96,[-1],76,[-1],78,77,bijective-tests/augeas/cachefilesd,[-1]
130,126,[-1],130,[-1],97,129,bijective-tests/augeas/activemq,[-1]
235,181,[-1],[-1],[-1],148,138,bijective-tests/augeas/cgconfig,[-1]
443,286,[-1],[-1],[-1],1516,284,bijective-tests/augeas/automounter,[-1]
397,265,[-1],[-1],[-1],675,233,bijective-tests/augeas/channels,[-1]
[-1],7148,[-1],[-1],[-1],[-1],3191,bijective-tests/augeas/bbhosts,[-1]
199,134,[-1],137,[-1],133,139,bijective-tests/augeas/cgrules,[-1]
361,253,[-1],[-1],[-1],[-1],220,bijective-tests/augeas/aptconf-l1,[-1]
201,159,[-1],150,[-1],138,135,bijective-tests/augeas/access,[-1]
141,82,[-1],83,[-1],83,82,bijective-tests/augeas/apt-upd-mgr,[-1]
319,205,[-1],367,[-1],254,196,bijective-tests/augeas/automaster,[-1]
187,138,[-1],[-1],[-1],[-1],134,bijective-tests/augeas/aptprefs,[-1]
142,103,[-1],95,[-1],82,86,bijective-tests/augeas/afs-cellalias,[-1]
[-1],10786,[-1],[-1],[-1],[-1],8769,bijective-tests/augeas/anacron,[-1]
[-1],19763,[-1],[-1],[-1],[-1],9303,bijective-tests/augeas/xml-synth,[-1]
194,139,[-1],[-1],[-1],[-1],139,bijective-tests/augeas/aptconf,[-1]
[-1],1051,[-1],1057,[-1],485,499,bijective-tests/augeas/xml-l1,[-1]
137,86,[-1],[-1],[-1],144,83,bijective-tests/augeas/approx,[-1]
187,141,[-1],[-1],[-1],817,145,bijective-tests/augeas/hosts,[-1]
145,141,[-1],145,[-1],96,135,bijective-tests/augeas/backuppchosts,[-1]
143,141,[-1],88,[-1],84,87,bijective-tests/augeas/chrony,[-1]
144,105,[-1],85,[-1],89,83,bijective-tests/augeas/alias,[-1]
311,235,[-1],[-1],[-1],[-1],193,bijective-tests/augeas/auth-keys,[-1]
